row_index,PC1,PC2,PC3
0,-1.0412319677872661,0.5478037078431617,-0.7253194246995529
1,-0.8417849166740916,2.5856502756746713,1.0343267502501161
2,-0.5284641949152435,3.3185755546458697,1.3310114313684753
3,-0.4907373533621306,3.3940433791659395,1.3564066691402674
4,-0.9207834666113608,2.3852412040798683,0.9598035135086282
5,5.900991964857465,-0.05862319453205072,0.33285862779426983
6,5.634163116420868,-0.8137193875650748,0.3697799688090798
7,4.4639802909961155,-1.5082368209696944,0.46065746348338776
8,3.824964651868951,-2.187539996300849,0.26554067168383255
9,-0.0797186550086336,-0.6943693262120049,2.9895293390583837
10,-0.421717077898877,3.5583176614381333,1.4242367203096045
11,-0.42185630537473057,3.558436522329952,1.4241827657434376
12,-0.454529750803321,3.4756045036408234,1.3888883011657216
13,-0.5124581925429255,3.295907752816445,1.3412297865463256
14,-0.42183719277390747,3.5584260436910897,1.4241757335452803
15,-0.42186060153871957,3.558441700352612,1.4241766473552433
16,-0.42186060153871957,3.558441700352612,1.4241766473552433
17,-0.42186060153871957,3.558441700352612,1.4241766473552433
18,-0.42186060153871957,3.558441700352612,1.4241766473552433
19,-0.42186060153871957,3.558441700352612,1.4241766473552433
20,-0.42186060153871957,3.558441700352612,1.4241766473552433
21,-0.42186060153871957,3.558441700352612,1.4241766473552433
22,-0.4218584891754367,3.558438895476868,1.4241801594799055
23,-0.42186060153871957,3.558441700352612,1.4241766473552433
24,-0.4218347660418558,3.558420111736855,1.4241850408161203
25,-0.4218395073046199,3.558427866101801,1.424174319321186
26,-0.42186060153871957,3.558441700352612,1.4241766473552433
27,-0.42186060153871957,3.558441700352612,1.4241766473552433
28,-0.42186060153871957,3.558441700352612,1.4241766473552433
29,-0.42186060153871957,3.558441700352612,1.4241766473552433
30,-0.42186060153871957,3.558441700352612,1.4241766473552433
31,-0.42186060153871957,3.558441700352612,1.4241766473552433
32,-0.42186060153871957,3.558441700352612,1.4241766473552433
33,-0.42186060153871957,3.558441700352612,1.4241766473552433
34,-0.42186965479950733,3.5584515029558275,1.4241659120228536
35,-0.42186060153871957,3.558441700352612,1.4241766473552433
36,-0.4218628556824575,3.5584423689618414,1.4241774225893433
37,-0.42186060153871957,3.558441700352612,1.4241766473552433
38,-0.42186060153871957,3.558441700352612,1.4241766473552433
39,-0.42186060153871957,3.558441700352612,1.4241766473552433
40,-0.42186060153871957,3.558441700352612,1.4241766473552433
41,-1.0823382219440427,0.4922833329217159,-0.7323185256754924
42,-1.4345734772952066,1.2134886497256998,0.48727633058202413
43,-1.20742996661634,1.7376672539183662,0.697592168336597
44,-1.0194351096364982,2.1930283838091693,0.88805560579615
45,6.360274624286014,0.6948448966253712,0.14687936875676624
46,4.339345688264147,2.4804981225606086,0.6528967961290003
47,5.910872131340056,-0.8234632205969854,0.45202567463721743
48,4.727523124831347,-1.1969085383204865,0.3538170670965131
49,-0.9059796192839877,0.3818632353923872,1.5567210341725615
50,0.7351291350917305,-2.0566688032637863,3.6256827524762505
51,-0.5798143071626586,1.5728853425893203,1.8041634844626049
52,-0.8877444096044547,2.4567882607922726,0.9803189853780342
53,-0.6724894647943741,3.0083681787603633,1.2192585709958301
54,-0.915786546620592,1.8312048486972747,1.1140760739499294
55,-0.8013476076317427,2.659691384098245,1.059137409725158
56,-0.782953117760005,2.6975493917261275,1.0722810772974785
57,-0.7710502595086257,2.7489452014890787,1.1020291885719806
58,-0.7080825040855047,2.9266353653756636,1.1861164233468966
59,-0.6591663003663,3.05361034460396,1.2421513924708534
60,-0.626560039295915,3.0643535120319307,1.2200811663931623
61,-0.6144030903923353,3.1154631593469535,1.2502219801124776
62,-0.5648069897519488,3.242395802713071,1.3052275143769292
63,-0.6833531168264649,2.951227702294319,1.1821285736998088
64,-0.6905135898627656,2.96486291838204,1.1996019302461527
65,-0.7511312529177542,2.7859872651656956,1.1166537980302698
66,-0.7153338021071862,2.8629315191274047,1.1384923986561208
67,-0.6648041157277097,2.988935914571275,1.1954404175262943
68,-0.6214034180696906,3.1293037825271877,1.2668463220433541
69,-0.45893979939985574,3.48252993384218,1.398880717896151
70,-0.4899629782127121,3.393511886991327,1.356541064597888
71,-0.5654216008446928,3.2425820094237507,1.3057537261318926
72,-0.5589754449500033,3.229199939365305,1.2887771106881785
73,-0.45877370646273247,3.482406804503718,1.3989487807046588
74,-0.5967213375055864,3.1537444731558066,1.2633851908937899
75,-0.5462424839399073,3.280394657540555,1.3176998720084476
76,-0.5966696500600873,3.153710579486882,1.2633937162376117
77,-0.5278475704471549,3.3181360519474405,1.3311710377030586
78,-0.5651363514419724,3.242553974891111,1.3053589247576611
79,-0.696897328923645,2.9005122210411427,1.1532490219276734
80,-0.45886374369186456,3.4824657398831484,1.398936669348159
81,-0.42121816914648247,3.557993322734982,1.4242992041473244
82,-1.0577826211740946,0.5281225170373632,-0.7232587974446103
83,-1.7875342767468274,0.33902876724925474,0.11614744035347258
84,-1.7045331349879305,0.547998761820563,0.20727461451350795
85,-1.455134363402751,1.1812126246194647,0.48403035724563287
86,6.4236731003726355,0.9340173185972359,0.43614724742839767
87,5.646613898924737,-0.051128527213857265,0.19776616578571288
88,4.757545063797096,-1.018935902717875,0.5497125171675389
89,4.931247428942595,-1.1097229932728014,0.22082709714045365
90,-0.8925680268724466,0.2062602192576937,1.5954074238994167
91,-0.905089106999172,0.5506794582227923,1.5112650973020212
92,-1.0906342624700933,1.2941658368618478,1.003905972247348
93,-1.1432233734314003,1.7793940306940474,0.7308742766558514
94,-1.0339233781007768,2.1567876876014047,0.9070696245485598
95,-1.0945833263219236,2.0418192941370554,0.83759093649199
96,-0.8750253755909887,2.508208029139756,1.0069242866343426
97,-0.8632682890739181,2.559324047674806,1.037731473598039
98,-0.9137648564593345,2.432851734948634,0.9829390827462341
99,-1.0140897068204608,2.1797405638927776,0.8727045255241346
100,-0.8888871782419447,2.45744294443752,0.9786885705154312
101,-0.8196017375934888,2.6217421684416373,1.0460354267127427
102,-0.9452494999603615,2.3443558234218873,0.9398982905266426
103,-0.8261560025355958,2.6351934187183463,1.06301540375509
104,-0.8834945835300371,2.5223383293634907,1.0251988527657603
105,-0.9021765128493747,2.484618327556845,1.012161593105865
106,-0.7858454375265733,2.4489026007136414,1.1458877278129904
107,-0.7572182843179533,2.7994447657629933,1.1319337826811364
