row_index,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
0,1.0412319677874606,-0.5478037078432059,-0.7253194246994746,0.33151830399803645,-0.4528041775882688,-0.05702587352645452,-0.6081345060571268,0.22266267453989558,-0.4816003704618529,-0.059202771729672636
1,0.8417849166741707,-2.5856502756744772,1.034326750250096,0.07609278717147883,0.3291191326076506,0.05738821870613337,-0.006017101971174617,-0.2000811639081824,-0.006058997858241676,-0.014359862180150737
2,0.5284641949152376,-3.3185755546458497,1.331011431368472,0.2223596344626522,0.43318820665202123,0.0975028634281916,-0.004035136998472291,-0.35796294568536385,-0.02283786996981084,-0.010021269130667336
3,0.4907373533621414,-3.3940433791659244,1.3564066691402632,0.2430461465650124,0.4406996328914891,0.10814370189992352,-0.01374582892305107,-0.4594274932975028,-0.036978588621074365,-0.01838901107622211
4,0.9207834666113766,-2.3852412040798585,0.9598035135086375,0.029920197565756545,0.3106338428001755,0.04439807023899748,0.002884296860761238,-0.04039815999529612,0.023377015661412176,-0.001520043721841975
5,-5.900991964857478,0.05862319453204543,0.3328586277942809,-1.175418044208546,-0.28170666758568913,-0.43822485123469884,0.18265309257573428,-0.014764675657592997,-0.0880844200938216,0.10325259758204282
6,-5.6341631164208765,0.8137193875650723,0.36977996880909586,-1.5871118381626403,0.2713126872065715,0.5269462616923053,-0.3641481137915976,0.011172353732667208,-0.22001192353097576,0.2706824492204543
7,-4.4639802909961235,1.508236820969689,0.46065746348339054,-0.7724777510300799,1.6013462476742821,-0.16016720990244993,0.038274844540871863,-0.06744503586050482,-0.4754927955831787,0.21514930625737355
8,-3.824964651868959,2.187539996300842,0.2655406716838432,-0.9911321944200879,1.3917083341754213,-0.27597498630560247,0.13137694985548207,-0.026243228754775146,-0.42901150258617077,0.41783724974823455
9,0.07971865500863456,0.6943693262120009,2.9895293390583704,1.7765783809517655,-0.3895826816789858,0.3130903794407349,0.20644237844047197,-0.2043417386521312,-0.3041261631969802,-0.11209084445383355
10,0.42171707789888735,-3.5583176614381213,1.4242367203095945,0.2746082842008463,0.4648607114099952,0.11554614096311744,-0.010848403329390176,-0.4735218740894655,-0.03757174404541184,-0.01517806291860112
11,0.42185630537474095,-3.558436522329939,1.424182765743428,0.27446546605897365,0.4648192551794674,0.11551359047946921,-0.010881900434471101,-0.4734995563004141,-0.037753359758535804,-0.015256125216953867
12,0.45452975080333047,-3.4756045036408123,1.3888883011657127,0.25994529220602114,0.4538638795155843,0.11307389995698278,-0.011765867466600629,-0.46669945240294414,-0.03429207123042396,-0.01628213768991229
13,0.5124581925429353,-3.2959077528164338,1.3412297865463163,0.24361013724271458,0.42619173791661413,0.10707296358265081,-0.0129293109574649,-0.45194192805807654,-0.034872211040648415,-0.0190647134513401
14,0.4218371927739179,-3.5584260436910764,1.4241757335452703,0.2744800328941209,0.46483204690527646,0.11551666373254958,-0.010881947874959877,-0.4735048504769644,-0.037710534659021945,-0.01524216191919222
15,0.42186060153872984,-3.5584417003525988,1.424176647355233,0.2744609697504972,0.4648203561059448,0.11551291417229113,-0.010886085781275461,-0.473499659651063,-0.03774975799206127,-0.01525835100025817
