row_index,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8
1219,-1.8338992108578631,0.34264077022831985,-0.13368625418568303,-0.4231598449162823,-0.06494847655156054,-0.05105827754044216,-0.04492615262272292,-0.004810823062602255
1220,-1.825575786445749,0.352152418179729,-0.12375315985245683,-0.41872402044324863,-0.06533574221083137,-0.05520860925310086,-0.04488775596523986,-0.006135008554087645
1221,-1.8760923894419503,0.4270428358017129,-0.17081591208475674,-0.44457145917029656,-0.08087274361093785,-0.0480064534033662,-0.13228877786495227,-0.02963284539730812
1222,-1.8787445220289984,0.42334215686057775,-0.1726123243541718,-0.4496383236222583,-0.0801693042436336,-0.0510121351741268,-0.13215339506322207,-0.03278175759109753
1223,-1.8859342040311105,0.41715292181836466,-0.17261844004910734,-0.45753325967028763,-0.08062758818364395,-0.05256400427140807,-0.1332284090260942,-0.03235832404725132
1224,-1.8477822040195213,0.3322241944699423,-0.12925456732680118,-0.43716164650613565,-0.06877716660916547,-0.054832377171182195,-0.04550048638684168,-0.012841139139379525
1225,-1.806715278893601,0.24880127520848072,-0.086798148522255,-0.415381786839695,-0.05626711423031832,-0.05877230255328772,0.04319345373573214,0.0030254584740298887
1226,-1.7648140801130998,0.32119096988756757,-0.008819286665952273,-0.33966252395953805,-0.08712869408851798,-0.03671751612348639,0.04790592962755928,-0.008007004041522174
1227,-1.8107973386118807,0.24595519648377193,-0.08540479662819082,-0.41874582975230934,-0.05778480711184578,-0.05919369621568067,0.04319758508882188,0.00020913573538228954
1228,-1.8076816973700984,0.25355771307693364,-0.07290564354356836,-0.41494934463059113,-0.060647295631193546,-0.05853954629725136,0.042038663000878204,0.0035828959397602514
1229,-1.8027042495365972,0.25740166591557556,-0.07286768338747823,-0.41046659790044954,-0.06036931406412755,-0.059515798599823234,0.043270519960291805,-4.237859639447836e-05
1230,2.4139935367589205,-0.8014055469165949,-0.8086134032195643,0.564417223358689,-0.35997216890235795,0.002956435033109907,-0.06096113707494976,0.0299558713809769
1231,3.1449125259302537,-0.2946097175597759,-0.6816991648740679,0.20666283857312484,-0.20254105471378997,0.2152796721653704,-0.13651416663214597,0.17054763560166983
1232,3.37329815540154,-0.04601201208450021,-0.5244323739773333,0.488040648086154,-0.1550352564551879,-0.23241745389517274,-0.09720571075430672,0.39275585356526854
1233,3.9722623606488567,0.18133926370310707,-0.39004460466409796,0.10866362435758264,-0.18565490117627934,0.011924638035142225,-0.2002865132361796,0.3285204138569738
1234,4.325025595426111,0.41276170394304834,-0.2550437148074482,-0.09193539610913955,-0.23433850407024034,0.07227041171245242,-0.03667992180433554,0.3526359193112938
1235,4.365254642045304,0.9914330791064857,-0.03534382998653715,-0.5657968277192137,0.5145376550732181,0.616905590625528,0.050919998538534766,0.053566962137635406
1236,4.878344656957893,0.5654493312910203,0.02162207621048332,-0.5430018975051988,-0.00041575314934313816,0.3957488038312762,-0.1241367681493674,0.08777340367829266
1237,4.8583084912868575,0.9618890031389099,0.10846605880916264,-0.8026182496242216,0.2127238837008677,0.5755906725347729,0.06638313153058306,-0.01015218724880218
1238,3.8211705778413645,1.0616004540160866,0.3302290478489282,0.054083637166511205,1.1480950709883662,-0.1261921239871678,0.07205081324302354,-0.09604685861451098
