assembly_variety,cv,fano_factor,isi_distance,largest_assembly,max_cluster,mean_firing_rate,spike_contrast
0.098692979895296,-0.6870468539791185,-0.4804038032902797,-0.7984323795415206,-0.1090701243745996,0.1664081403353021,0.464890218144388,-0.6694698412388314
-1.7018246526509035,-0.6868473020275828,-0.4804038032902797,-0.7999544708501413,0.5519896729218864,-1.557528747502176,0.464890218144388,0.7787265115222342
-2.2558300780497342,-0.6869737250206909,-0.4804038032902797,-0.8002262728695377,0.5519896729218864,-2.247103502637167,0.464890218144388,0.7791517341298624
-2.2558300780497342,-0.6869892814370293,-0.4804038032902797,-0.8002806332734171,0.5519896729218864,-2.385018453664165,0.464890218144388,0.7791517341298624
-1.6325739744760497,-0.6848045611977374,-0.4704671395462029,-0.7860925678609174,0.5519896729218864,-1.2816988454481797,0.4622916020056629,0.774038482194066
-1.2863205836017806,1.0251620659328664,2.221665431473955,1.6202250702605712,-2.375560857962552,-1.4196137964751776,-2.5761270599530968,-0.992880277285076
-0.7323151582029499,1.0896932552813376,3.32191358218562,1.6690950733480705,-1.6200639467665678,-1.005868943394183,-2.5384736424327934,-1.0365067890605988
-0.2475604109789731,1.3330356709951074,2.073886987896303,1.655341891166605,0.0798041034243963,-0.5231666147996892,-2.4680988747575228,-1.0384399090728218
0.3756956925947113,1.2642842565785082,1.9163165640680115,1.5617332756864348,0.0798041034243963,0.1664081403353021,-2.3713667148180404,-0.7593945811970412
-0.3860617673286808,3.261890816020354,-0.4462700167799609,-0.3243009369061881,0.5519896729218864,-0.5921240903131882,-0.0736066853783675,0.7498092477014895
-2.394331434399442,-0.6868722435569468,-0.4804038032902797,-0.8001719124656586,0.5519896729218864,-2.522933404691164,0.464890218144388,0.7791517341298624
-2.394331434399442,-0.6870338015740285,-0.4804038032902797,-0.800443714485055,0.5519896729218864,-2.522933404691164,0.464890218144388,0.7791517341298624
-2.325080756224588,-0.687036818217501,-0.479817040801111,-0.796203602982469,0.5519896729218864,-2.4539759291776644,0.4659508777928477,0.7786044191860317
-2.1865793998748804,-0.6561161043248316,-0.4798395376658748,-0.7912568062294518,0.5519896729218864,-2.3160609781506665,0.4605415135857055,0.7786253989438882
-2.394331434399442,-0.6870308440804279,-0.4804038032902797,-0.8003893540811757,0.5519896729218864,-2.522933404691164,0.464890218144388,0.7791517341298624
-2.394331434399442,-0.6870445077008621,-0.4804038032902797,-0.800443714485055,0.5519896729218864,-2.522933404691164,0.464890218144388,0.7791517341298624
-2.394331434399442,-0.6870445077008621,-0.4804038032902797,-0.800443714485055,0.5519896729218864,-2.522933404691164,0.464890218144388,0.7791517341298624
-2.394331434399442,-0.6870445077008621,-0.4804038032902797,-0.800443714485055,0.5519896729218864,-2.522933404691164,0.464890218144388,0.7791517341298624
-2.394331434399442,-0.6870445077008621,-0.4804038032902797,-0.800443714485055,0.5519896729218864,-2.522933404691164,0.464890218144388,0.7791517341298624
-2.394331434399442,-0.6870445077008621,-0.4804038032902797,-0.800443714485055,0.5519896729218864,-2.522933404691164,0.464890218144388,0.7791517341298624
-2.394331434399442,-0.6870445077008621,-0.4804038032902797,-0.800443714485055,0.5519896729218864,-2.522933404691164,0.464890218144388,0.7791517341298624
-2.394331434399442,-0.6870445077008621,-0.4804038032902797,-0.800443714485055,0.5519896729218864,-2.522933404691164,0.464890218144388,0.7791517341298624
-2.394331434399442,-0.6870385335637892,-0.4804038032902797,-0.800443714485055,0.5519896729218864,-2.522933404691164,0.464890218144388,0.7791517341298624
-2.394331434399442,-0.6870445077008621,-0.4804038032902797,-0.800443714485055,0.5519896729218864,-2.522933404691164,0.464890218144388,0.7791517341298624
-2.394331434399442,-0.6870165495280257,-0.4804038032902797,-0.8003893540811757,0.5519896729218864,-2.522933404691164,0.464890218144388,0.7791517341298624
-2.394331434399442,-0.6870339593070205,-0.4804038032902797,-0.8003893540811757,0.5519896729218864,-2.522933404691164,0.464890218144388,0.7791517341298624
-2.394331434399442,-0.6870445077008621,-0.4804038032902797,-0.800443714485055,0.5519896729218864,-2.522933404691164,0.464890218144388,0.7791517341298624
-2.394331434399442,-0.6870445077008621,-0.4804038032902797,-0.800443714485055,0.5519896729218864,-2.522933404691164,0.464890218144388,0.7791517341298624
-2.394331434399442,-0.6870445077008621,-0.4804038032902797,-0.800443714485055,0.5519896729218864,-2.522933404691164,0.464890218144388,0.7791517341298624
-2.394331434399442,-0.6870445077008621,-0.4804038032902797,-0.800443714485055,0.5519896729218864,-2.522933404691164,0.464890218144388,0.7791517341298624
-2.394331434399442,-0.6870445077008621,-0.4804038032902797,-0.800443714485055,0.5519896729218864,-2.522933404691164,0.464890218144388,0.7791517341298624
-2.394331434399442,-0.6870445077008621,-0.4804038032902797,-0.800443714485055,0.5519896729218864,-2.522933404691164,0.464890218144388,0.7791517341298624
-2.394331434399442,-0.6870445077008621,-0.4804038032902797,-0.800443714485055,0.5519896729218864,-2.522933404691164,0.464890218144388,0.7791517341298624
