noise,coupling,conn_complex,cv,cv2,isi_distance,max_cluster,mean_firing_rate,pearson_correlation,fano_factor,spike_contrast,spike_distance,spike_sync,largest_assembly,assembly_variety
0.0001,0.05,50,0.71674671,0.00462036,0.02209,22,2.22268,0.99512139,0.00203754,0.99765828,0.01243,0.99828,50,14
0.0001,0.055,50,0.00094853,0.00071153,0.00065,16,2.316,0.99723695,0.0,0.99949068,0.00047,1.0,50,14
0.0001,0.06,50,0.00087957,0.00066827,0.00108,12,2.3204,0.99967321,0.00013791,0.99925277,0.00054,0.99986,50,5
0.0001,0.065,50,0.24037345,0.00472306,0.00911,22,2.28964,0.9941927,0.00135183,0.99774281,0.00497,0.99817,50,18
0.0001,0.07,50,0.00099825,0.00085669,0.00071,13,2.32,0.99738465,0.0,0.99944792,0.00049,1.0,50,12
0.0001,0.075,50,0.00095632,0.00078867,0.00063,12,2.32,0.99818947,0.0,0.9997354,0.00042,1.0,50,12
0.0001,0.08,50,0.00086415,0.00064517,0.00052,13,2.32,0.99743454,0.0,0.9997544,0.00035,1.0,50,10
0.0001,0.085,50,0.0009061,0.00070864,0.00056,13,2.32,0.99895228,0.0,0.99927903,0.00037,1.0,50,6
0.0001,0.09,50,0.00075549,0.00049213,0.00039,12,2.32,0.99981488,0.0,0.99993315,0.00025,1.0,50,4
0.0001,0.095,50,0.00079883,0.00055151,0.00044,7,2.32,0.9981514,0.0,0.99936559,0.00028,1.0,50,8
0.0001,0.1,50,0.00082626,0.00058962,0.00046,8,2.32,0.99974529,0.0,0.99969669,0.0003,1.0,50,6
0.0001,0.105,50,0.00068353,0.000404,0.00032,7,2.32,0.99920043,0.0,0.99963019,0.00021,1.0,50,4
0.0001,0.11,50,0.00078145,0.00052726,0.00041,10,2.32,0.99762754,0.0,0.99945567,0.00026,1.0,50,8
0.0001,0.115,50,0.00068628,0.0004082,0.00033,12,2.32,0.99914134,0.0,0.99980859,0.00021,1.0,50,6
0.0001,0.12,50,0.00075016,0.00046103,0.00037,12,2.316,0.99845957,0.0,0.99998273,0.00025,1.0,50,10
0.0001,0.125,50,0.0007381,0.00047127,0.00036,10,2.322,0.99854676,0.0,0.99909543,0.00023,1.0,50,10
0.0001,0.13,50,0.00080066,0.00055288,0.0004,9,2.32,0.99842186,0.0,0.99988177,0.00025,1.0,50,8
0.0001,0.135,50,0.00064612,0.00036157,0.00028,10,2.32,0.99920043,0.0,0.99941766,0.00018,1.0,50,4
0.0001,0.14,50,0.00051588,0.00023062,0.00017,3,2.32,1.0,0.0,0.99998276,0.00011,1.0,50,2
0.0001,0.145,50,0.00058406,0.00029445,0.00022,3,2.32,0.99920043,0.0,1.0,0.00013,1.0,50,4
0.0001,0.15,50,0.00059904,0.00031123,0.00023,7,2.32,0.99975842,0.0,1.0,0.00014,1.0,50,4
0.0001,0.155,50,0.00057387,0.0002853,0.0002,5,2.32,0.99921224,0.0,1.0,0.00012,1.0,50,6
0.0001,0.16,50,0.00059719,0.00030658,0.0002,3,2.32,1.0,0.0,1.0,0.00013,1.0,50,2
0.0001,0.165,50,0.00057762,0.00028895,0.0002,7,2.32,0.99917942,0.0,1.0,0.00013,1.0,50,6
0.0001,0.17,50,0.00056763,0.00027785,0.00018,6,2.32,0.99965339,0.0,0.99944441,0.00012,1.0,50,4
0.0001,0.175,50,0.00059825,0.00030951,0.00021,7,2.32,0.99905469,0.0,1.0,0.00013,1.0,50,6
0.0001,0.18,50,0.00056022,0.00027076,0.00017,5,2.32,0.99975842,0.0,1.0,0.00011,1.0,50,4
0.0001,0.185,50,0.00063108,0.00034489,0.00022,7,2.32,0.99965339,0.0,0.99968966,0.00014,1.0,50,4
0.0001,0.19,50,0.00058418,0.00029524,0.00019,9,2.32,0.99812251,0.0,1.0,0.00012,1.0,50,10
0.0001,0.195,50,0.00056274,0.00027452,0.00018,3,2.32,1.0,0.0,1.0,0.00011,1.0,50,2
0.0001,0.2,50,0.0005215,0.00023542,0.00015,1,2.32,1.0,0.0,0.99998276,9e-05,1.0,50,2
0.0002,0.0,39,0.00188496,0.00221309,0.00229,39,2.32,0.2789724,0.0,0.43841533,0.17842,0.99783,44,39
0.0002,0.005,50,0.00184011,0.00216757,0.00195,45,2.32,0.98437615,0.0,0.99487095,0.00389,1.0,50,37
0.0002,0.01,50,0.0017665,0.0021024,0.00184,43,2.32,0.98929175,0.0,0.99640676,0.00261,1.0,50,34
0.0002,0.015,50,0.00170932,0.00204729,0.00177,38,2.32,0.99261609,0.0,0.99738987,0.00211,1.0,50,24
0.0002,0.02,11,0.82205626,1.52192008,0.29743,7,0.00252,0.10819296,0.81936508,0.25061082,0.16252,0.50617,11,8
0.0002,0.025,19,0.8479565,1.00847106,0.44911,17,0.02512,0.14178708,0.79031847,0.22480301,0.25895,0.3483,22,19
0.0002,0.03,40,1.05061603,1.08675365,0.4591,25,0.05744,0.22976484,0.68389972,0.31639158,0.25487,0.37934,40,27
0.0002,0.035,34,0.96309114,0.95835634,0.46337,28,0.10196,0.21212009,0.87209886,0.24818021,0.25876,0.35865,34,29
0.0002,0.04,50,0.92956737,0.00706884,0.03996,36,2.15984,0.98734944,0.00429069,0.99422719,0.02114,0.99646,50,28
0.0002,0.045,50,0.79233697,0.00839593,0.02883,34,2.1986000000000003,0.99142945,0.00863277,0.9952347,0.01659,0.99682,50,25
0.0002,0.05,50,0.30145931,0.00479288,0.01193,30,2.27848,0.99311834,0.00100277,0.99669818,0.00727,0.99843,50,22
0.0002,0.055,50,0.01736492,0.00171858,0.00303,24,2.3024400000000003,0.99464621,0.00014906,0.99852976,0.00157,0.99985,50,22
