feature,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8
assembly_variety,-0.27981990308798477,0.614953382956898,-0.3014865009264609,-0.14677454169156245,-0.09147367971162677,0.018384441600877356,-0.6337405939166652,-0.14409621835856726
cv,0.27252941352727056,0.4883758480633671,0.501845902407929,0.5714166957441889,-0.23395347517552917,0.20348339035383425,0.045600710591984284,-0.10310798392433641
fano_factor,0.38326485690377615,0.13987357011582713,0.0959684686367151,-0.5630143772727392,0.2231947293694877,0.6518135015199625,0.0752967995026262,-0.16432273689274557
isi_distance,0.3994683518782541,0.2100660699082491,-0.25229649761801803,0.14056561052245972,0.3229883330906587,-0.024854952349581967,-0.10799049500571624,0.7721942045680875
largest_assembly,-0.39394592242551846,0.05608464272766081,0.21414650929216453,0.24529999042279096,0.8425663519831008,0.07860439659434354,-0.018148616185035132,-0.13857932523819874
max_cluster,-0.3330732458856209,0.515412086510333,-0.1543601224332777,-0.17547685421090925,-0.05432505262112172,-0.07551283499919564,0.7358169619526109,0.13679699961561692
mean_firing_rate,-0.3818965343591736,-0.22382607026126694,-0.29137887202561136,0.32298148289400364,-0.21441170895247663,0.7213044156678409,0.017150757425020924,0.21975361767767349
spike_contrast,-0.35914549423943676,-0.027125314287271454,0.6555956744901096,-0.34628754511398974,-0.15465877624624758,0.024839751641620743,-0.1921243283446608,0.5090283598264641
