component,explained_variance,explained_variance_ratio
PC1,5.474459409801251,0.6843074262251567
PC2,1.3227662328120737,0.1653457791015093
PC3,0.5511219246624707,0.06889024058280886
PC4,0.3926266925210589,0.049078336565132386
PC5,0.13594245002166724,0.016992806252708412
PC6,0.07772788381552219,0.009715985476940277
PC7,0.027488600983031946,0.003436075122878995
PC8,0.017866805382920067,0.002233350672865009
